Entity,Carbon intensity of electricity - gCO2/kWh,Year,Source
Spain,145,2024,Ember 2025 (provisional)
France,65,2024,Ember 2025 (provisional)
Germany,380,2024,Ember 2025 (provisional)
United Kingdom,185,2024,Ember 2025 (provisional)
Italy,215,2024,Ember 2025 (provisional)
United States,384,2024,Ember 2025 (provisional)
Canada,120,2024,Ember 2025 (provisional)
Mexico,420,2024,Ember 2025 (provisional)
Brazil,103,2024,Ember 2025 (provisional)
Argentina,290,2024,Ember 2025 (provisional)
China,560,2024,Ember 2025 (provisional)
India,708,2024,Ember 2025 (provisional)
Japan,485,2024,Ember 2025 (provisional)
South Korea,425,2024,Ember 2025 (provisional)
Australia,480,2024,Ember 2025 (provisional)
South Africa,670,2024,Ember 2025 (provisional)
Russia,358,2024,Ember 2025 (provisional)
World Average,473,2024,Ember 2025 (provisional)
